"","SNF2_1","SNF2_2","SNF2_3","SNF2_4","SNF2_5","WT_1","WT_2","WT_3","WT_4","WT_5"
"YDR178W",1973,1434,1365,1920,1240,750,841,997,1569,690
"YDR179C",67,43,48,61,36,14,49,38,52,43
"YDR179W-A",130,102,86,125,73,45,122,77,121,97
"YDR180W",325,222,283,354,197,113,315,206,253,322
"YDR181C",660,502,595,770,407,211,343,285,399,314
"YDR182W",1671,1153,1132,1683,969,524,989,762,1147,877
"YDR182W-A",53,30,26,46,27,4,22,19,19,16
"YDR183W",261,187,223,272,169,97,181,120,218,154
"YDR183C-A",20,5,11,7,6,2,28,20,16,47
"YDR184C",134,60,70,123,59,58,344,137,147,343
"YDR185C",334,252,218,297,189,154,253,172,287,234
"YDR186C",1818,1198,1264,1799,1010,942,1725,1060,1491,1821
"YDR187C",8,9,8,13,13,4,8,8,6,5
"YDR188W",4642,3814,4203,4613,3044,2618,3176,2498,3839,3274
"YDR189W",1250,1025,1048,1491,838,577,882,674,1072,880
"YDR190C",2147,1957,1760,2390,1510,1348,2175,1511,2174,2296
"YDR191W",276,187,185,264,197,57,101,110,114,98
"YDR192C",349,283,259,389,234,125,224,173,284,246
"YDR193W",3,1,1,1,1,0,4,2,1,4
"YDR194C",1126,646,805,1206,557,503,1253,973,1167,1179
"YDR194W-A",0,1,0,0,0,0,0,0,0,0
"YDR195W",504,263,325,516,231,126,348,250,315,296
"YDR196C",973,777,753,1076,663,484,627,567,900,608
"YDR197W",334,273,246,349,231,115,323,222,311,265
"YDR198C",246,189,196,301,205,118,222,153,213,236
"YDR199W",47,27,39,48,28,11,17,16,26,12
"YDR200C",714,530,511,814,392,219,373,314,431,303
"YDR201W",496,340,412,507,309,137,207,246,334,266
"YDR202C",467,341,347,533,282,175,302,228,420,270
"YDR203W",2,0,1,2,1,1,0,0,1,1
"YDR204W",916,868,914,1022,703,515,482,553,885,444
"YDR205W",648,504,430,580,379,255,434,351,524,456
"YDR206W",1243,1006,926,1327,865,610,971,654,1010,1021
"YDR207C",908,792,756,1059,613,359,672,461,695,612
"YDR208W",1399,894,867,1386,645,430,688,569,801,598
"YDR209C",313,239,270,309,241,191,277,221,403,300
"YDR210W",0,0,0,0,0,0,0,0,0,0
"YDR210W-B",10,2,4,7,4,3,2,7,3,5
"YDR210W-A",0,0,0,0,0,0,0,0,0,0
"YDR210C-D",11,6,11,16,7,9,15,8,12,12
"YDR210C-C",0,0,0,0,0,0,0,0,0,0
"tI(UAU)D",1,0,0,0,0,0,0,0,0,0
"YDR211W",1507,1309,1362,1807,1002,801,1240,846,1219,1155
"YDR212W",2599,2418,2436,2777,1775,1347,1966,1465,2245,1973
"YDR213W",530,519,473,578,303,416,727,385,716,639
"YDR214W",1350,1320,1254,1398,1020,961,1029,1009,1638,911
"YDR215C",35,22,35,33,23,12,13,12,24,24
"YDR216W",1899,1105,989,1769,786,356,461,569,688,424
"YDR217C",815,624,731,897,517,284,524,379,524,546
"YDR218C",49,24,24,18,19,4,20,5,19,15
"YDR219C",691,456,466,667,354,164,453,328,404,393
"YDR220C",12,5,6,22,8,1,9,6,5,9
"YDR221W",701,688,721,798,499,384,424,368,575,440
"YDR222W",239,175,224,291,194,58,149,101,136,115
"YDR223W",256,214,183,272,189,112,176,138,221,183
"YDR224C",9661,6755,6867,10573,5611,3680,8362,7085,9502,7325
"YDR225W",8698,5425,6048,8320,4874,4040,9466,8114,10485,8542
"YDR226W",7126,6255,6947,7455,5228,3438,5116,4020,6776,4880
"YDR227W",626,440,462,669,326,182,388,256,351,378
"YDR228C",758,544,613,922,417,277,589,440,539,578
"YDR229W",1112,964,1024,1269,765,499,685,578,825,679
"YDR230W",44,24,29,39,33,14,23,20,27,17
"YDR231C",396,294,321,380,217,157,205,219,291,123
"YDR232W",1897,1582,1568,1973,1178,1240,1688,1255,1870,1746
"YDR233C",5083,3937,3479,5346,3193,1891,4276,3054,4460,3877
"YDR234W",899,595,681,848,493,613,1043,661,910,1018
"YDR235W",447,307,327,440,233,113,380,275,340,321
"YDR236C",785,584,526,777,496,249,434,369,592,433
"YDR237W",524,400,356,546,330,276,457,379,523,407
"YDR238C",3392,3414,3222,3875,2329,1938,2315,1939,2961,2393
"YDR239C",428,340,333,448,288,180,360,241,385,370
"YDR240C",207,171,169,232,136,75,163,104,167,178
"YDR241W",37,42,36,69,37,20,46,36,33,42
"tY(GUA)D",1,0,0,1,0,0,0,0,0,0
"YDR242W",412,350,330,396,249,172,236,183,279,215
"YDR243C",310,224,213,293,164,127,220,170,237,237
"YDR244W",942,709,679,921,547,391,575,510,704,529
"YDR245W",1754,1376,1349,1935,1161,756,1542,1096,1574,1486
"YDR246W",1026,866,733,932,691,459,558,510,926,467
"YDR246W-A",83,91,59,106,61,61,55,49,91,54
"YDR247W",673,484,406,603,370,443,628,642,991,462
"YDR248C",351,267,277,407,238,179,233,252,361,242
"YDR249C",194,139,108,185,96,65,184,101,164,147
"YDR250C",22,13,9,15,4,5,16,14,18,13
"YDR251W",3565,2534,2641,3518,2059,1376,1993,1728,2705,1749
"YDR252W",115,93,66,120,79,41,88,65,95,65
"YDR253C",365,270,271,326,249,137,147,131,187,185
"YDR254W",452,311,348,504,262,149,256,252,329,228
"YDR255C",573,453,389,631,295,243,358,328,443,291
"YDR256C",418,332,284,359,237,179,297,245,318,266
"YDR257C",619,452,475,655,327,242,476,348,539,427
"YDR258C",1231,1200,1614,1411,990,1026,1028,873,1930,841
"YDR259C",442,286,325,501,205,71,144,101,143,118
"YDR260C",729,730,592,819,593,223,348,274,390,345
"YDR261C",1223,976,996,1299,682,659,902,718,1082,881
"tS(AGA)D2",1,0,0,0,0,0,0,0,0,0
"YDR261W-A",0,0,0,0,0,0,0,0,0,0
"YDR261W-B",30,33,29,30,17,12,29,15,32,31
"YDR261C-D",24,9,12,23,11,35,60,42,78,67
"YDR261C-C",0,0,0,0,0,0,0,0,0,0
"tG(GCC)D2",2,0,0,4,4,3,5,3,5,3
"YDR262W",1176,794,900,1225,687,477,830,726,998,724
"YDR263C",122,129,157,191,109,36,89,75,79,96
"YDR264C",2199,1993,2035,2536,1485,1059,1590,1214,1811,1471
"YDR265W",508,406,342,558,381,205,355,294,432,289
"YDR266C",661,544,552,688,403,334,622,454,672,621
"YDR267C",1014,836,786,916,644,448,684,454,801,712
"YDR268W",274,191,201,259,177,129,226,148,272,198
"YDR269C",0,0,1,0,0,0,1,0,0,0
"YDR270W",451,375,396,424,281,138,419,204,325,387
"YDR271C",3,0,0,1,0,0,0,1,0,0
"YDR272W",1069,986,939,1295,782,405,607,556,852,558
"YDR273W",277,216,253,304,217,87,147,95,126,151
"YDR274C",166,151,151,217,117,276,254,215,273,245
"YDR275W",540,402,329,567,325,270,434,349,458,495
"YDR276C",5557,4413,3608,5739,4466,2614,3896,3676,5694,3350
"YDR277C",959,605,532,905,409,1305,1665,1815,2440,1359
"YDR278C",1,0,0,0,0,1,0,0,0,1
"tE(CUC)D",0,0,0,0,0,0,0,0,0,0
"YDR279W",384,278,322,421,260,172,312,229,322,255
"YDR280W",974,791,776,964,613,503,889,708,1003,910
"YDR281C",16,15,16,13,10,109,157,127,184,158
"YDR282C",247,159,195,266,121,99,142,140,239,150
"YDR283C",906,697,776,1069,515,390,571,432,654,639
"YDR284C",1583,1188,1130,1538,972,630,765,752,1118,766
"YDR285W",306,180,228,340,161,66,223,192,248,205
"YDR286C",274,205,187,247,173,91,138,123,179,133
"YDR287W",777,699,706,877,548,337,383,367,580,351
"YDR288W",367,278,285,438,255,124,257,226,306,240
"YDR289C",704,532,566,814,419,276,474,372,527,482
"YDR290W",1,0,1,1,1,0,3,4,2,4
"YDR291W",638,500,553,680,403,273,454,325,484,460
"YDR292C",1841,1432,1454,2019,1187,827,1376,1057,1515,1333
"YDR293C",6069,4455,4684,6319,3601,2928,3944,3297,5830,3692
"YDR294C",2235,1999,1889,2293,1524,1238,1467,1259,2076,1514
"YDR295C",506,368,444,597,274,166,388,302,433,388
"YDR296W",1173,1000,1009,1169,820,687,786,739,1035,779
"YDR297W",2675,2137,2007,2538,1547,1294,2470,1697,2490,2395
"YDR298C",1878,1395,1488,1849,1121,674,922,914,1297,860
"YDR299W",121,73,103,146,63,93,390,150,190,421
"YDR300C",1029,852,789,1098,594,550,1125,740,974,1094
"YDR301W",857,703,712,935,507,414,671,489,695,683
"YDR302W",592,332,341,582,357,159,463,372,434,392
"YDR303C",870,457,565,902,424,285,641,552,667,568
"YDR304C",3186,2801,2909,3231,2362,1481,1798,1644,2710,1742
"YDR305C",445,325,302,471,262,154,249,221,286,242
"YDR306C",932,642,627,881,471,254,506,450,633,462
"tV(CAC)D",0,0,0,0,0,0,0,0,0,1
"YDR307W",681,516,559,726,459,259,406,349,501,373
"YDR308C",397,321,279,400,304,152,265,231,381,252
"YDR309C",1560,1072,939,1421,861,340,674,475,606,827
"YDR310C",1433,1091,1064,1485,765,571,832,702,983,824
"YDR311W",752,547,560,796,466,278,445,345,503,482
"YDR312W",258,202,250,274,178,107,273,188,262,298
"YDR313C",462,356,356,491,303,169,243,175,281,267
"YDR314C",127,109,121,135,78,77,115,114,163,112
"YDR315C",292,222,223,361,191,74,106,131,197,119
"YDR316W",522,327,433,607,318,158,350,323,378,336
"tF(GAA)D",1,1,0,3,0,1,2,2,0,0
"YDR316W-A",0,0,0,0,0,0,0,0,0,0
"YDR316W-B",0,0,0,0,0,0,0,0,0,0
"YDR317W",206,108,114,185,93,43,136,97,147,125
"YDR318W",420,239,248,339,237,114,251,233,296,259
"YDR319C",702,591,647,755,583,227,374,336,570,321
"YDR320C",632,460,504,681,409,239,328,275,444,309
"YDR320C-A",446,267,236,354,286,136,217,193,284,186
"YDR320W-B",2,0,1,3,2,1,6,1,0,1
"YDR321W",1580,1507,1516,1805,1135,899,1514,1012,1707,1532
"YDR322W",524,339,404,500,339,269,478,395,553,418
"YDR322C-A",860,603,698,880,538,320,432,517,737,476
"YDR323C",237,188,190,241,156,65,152,111,158,155
"YDR324C",289,209,246,328,154,185,585,308,369,649
"YDR325W",390,354,376,517,302,214,328,249,331,280
"YDR326C",1245,761,918,1261,652,413,867,626,881,787
"YDR327W",729,582,633,801,578,412,403,353,567,381
"YDR328C",2501,2057,2117,2494,1811,1420,1491,1193,2019,1607
"YDR329C",1482,1213,1090,1601,947,532,786,632,1006,656
"YDR330W",1288,1058,1020,1377,809,705,813,735,1229,753
"YDR331W",627,500,402,669,405,267,480,391,589,457
"YDR332W",419,348,362,460,281,162,313,237,334,312
"YDR333C",1015,753,743,976,565,391,738,564,738,664
"YDR334W",1720,1271,1311,1694,912,728,997,882,1210,937
"YDR335W",3026,2432,2824,3479,1859,1035,1451,1274,1877,1335
"YDR336W",385,276,268,416,231,156,334,237,302,292
"YDR337W",607,485,513,692,407,227,476,391,514,434
"YDR338C",607,477,389,579,347,216,350,253,406,399
"YDR339C",578,354,426,520,367,234,541,422,485,531
"tX(XXX)D",0,0,1,0,0,0,0,0,0,1
"YDR340W",0,1,1,2,6,3,3,2,1,4
"YDR341C",3004,2363,2505,3183,1852,1613,2782,2003,3142,2846
"YDR342C",621,448,350,631,285,2420,1784,3660,3976,1536
"YDR343C",273,216,180,262,167,462,358,679,856,300
"YDR344C",160,133,107,147,80,18,58,25,61,40
"YDR345C",25087,18125,16934,25192,14087,21897,37023,30235,39087,36246
"YDR346C",3253,2317,2552,3423,1708,1650,3008,2374,2871,2910
"YDR347W",991,705,687,957,556,459,728,653,913,719
"YDR348C",2743,2072,1890,2762,1675,998,1490,1209,1734,1475
"YDR349C",2200,1787,1558,2151,1444,866,1259,1024,1594,1251
"tM(CAU)D",1,0,0,0,0,0,0,0,0,1
"YDR350C",1020,649,643,1026,509,271,542,526,617,491
"YDR351W",1260,824,864,1229,616,340,726,607,740,679
"YDR352W",571,507,428,593,410,264,483,377,526,474
"YDR353W",7829,6866,6583,8105,5367,4411,5118,4570,7240,5031
"YDR354W",1590,1215,1099,1520,1007,717,649,722,1161,635
"YDR354C-A",0,0,0,0,0,0,0,0,0,0
"YDR355C",0,0,0,1,2,0,0,0,1,0
"YDR356W",511,452,571,665,310,186,328,235,291,305
"YDR357C",251,151,164,313,170,61,150,142,204,134
"YDR358W",1523,1197,1169,1552,859,609,762,733,1248,647
"YDR359C",1069,962,912,1151,714,332,460,422,612,419
"YDR360W",15,14,11,14,4,6,6,4,11,9
"YDR361C",432,354,368,512,260,287,707,472,623,775
"YDR362C",496,403,414,532,322,213,371,293,425,388
"YDR363W",472,384,463,535,250,169,288,268,438,267
"tK(CUU)D1",0,0,0,0,0,0,0,0,0,0
"YDR363W-A",1302,1003,1154,1525,943,432,776,719,1059,714
"YDR364C",344,263,274,350,217,145,330,219,282,319
"YDR365C",1572,1432,1683,2333,886,1146,2489,1625,2165,2647
"YDR365W-B",5,3,1,2,1,5,9,13,20,12
"YDR365W-A",0,0,0,0,0,0,0,0,0,0
"YDR366C",16,7,3,16,6,2,10,10,7,7
"YDR367W",605,543,469,707,453,212,350,269,454,346
"YDR368W",1610,1416,1333,1680,1090,714,898,830,1376,849
"YDR369C",336,297,308,389,219,148,214,185,255,165
"YDR370C",403,261,251,427,220,135,318,212,285,306
"YDR371W",586,374,359,561,326,182,336,287,372,304
"YDR371C-A",0,0,0,0,0,0,0,0,0,0
"YDR372C",1861,1649,1944,2228,1420,932,1500,1257,1922,1453
"YDR373W",984,740,808,1047,680,325,503,487,710,489
"YDR374C",7,1,5,4,3,3,2,4,6,2
"YDR374W-A",305,186,200,297,187,52,113,120,159,104
"YDR375C",759,540,539,776,468,344,524,434,650,443
"YDR376W",681,605,532,742,369,264,364,378,537,338
"YDR377W",1308,954,869,1235,784,486,611,664,972,548
"YDR378C",1152,928,797,1145,766,481,673,607,928,725
"YDR379W",1532,1168,1156,1589,865,568,862,635,941,794
"YDR379C-A",165,112,117,146,127,34,56,46,99,28
"YDR380W",665,458,404,624,387,290,374,374,579,347
"YDR381W",2242,1626,1961,2537,1321,1220,2289,1952,2589,2019
"YDR381C-A",560,410,377,512,429,145,246,231,363,253
"YDR382W",15270,13126,16231,16780,10153,9843,13314,10177,16440,14924
"YDR383C",514,291,379,527,304,101,289,216,258,256
"YDR384C",633,484,482,710,338,497,768,573,863,778
"YDR385W",3262,2582,2870,2986,2142,1822,2958,2090,3436,3202
"YDR386W",383,292,300,460,250,117,217,160,213,181
"YDR387C",955,699,684,958,558,377,564,453,787,549
"YDR388W",4658,3893,4188,4449,3411,3004,2827,2571,4458,2596
"YDR389W",737,608,578,715,518,355,619,445,746,641
"YDR390C",1169,929,908,1355,674,453,846,579,906,804
"tG(CCC)D",0,0,0,0,0,0,0,0,0,0
"YDR391C",975,761,761,951,677,705,677,670,1409,605
"YDR392W",848,716,723,902,558,341,470,373,602,454
"YDR393W",480,410,336,499,322,228,337,298,465,344
"YDR394W",3785,3283,2983,3599,2654,2319,2606,2324,3803,2690
"YDR395W",734,658,756,799,561,553,1088,650,1018,1019
"YDR396W",61,31,33,44,33,20,59,46,77,45
"YDR397C",41,33,21,38,21,19,54,45,65,47
"YDR398W",783,620,650,770,519,501,1354,614,1036,1576
"YDR399W",876,707,798,795,746,1457,2540,1743,3011,2911
"YDR400W",418,338,336,405,272,182,293,205,357,281
"YDR401W",1,1,1,1,0,0,0,0,1,0
"YDR402C",19,9,9,24,12,6,15,12,14,16
"YDR403W",117,77,70,93,62,25,60,43,59,59
"YDR404C",1017,792,679,1054,644,485,786,714,906,745
"YDR405W",1415,1119,951,1440,917,758,908,783,1284,958
"YDR406W",873,749,651,946,562,1492,2095,2113,2431,1813
"YDR406W-A",23,6,15,22,2,5,21,32,20,29
"YDR407C",883,727,821,1147,495,340,523,468,590,511
"YDR408C",1554,1455,1327,1590,1298,1286,1179,961,1842,1196
"YDR409W",675,554,514,616,471,312,494,332,569,454
"YDR410C",608,372,400,604,351,158,370,331,407,307
"YDR411C",1052,879,811,1013,831,499,684,616,1011,659
"YDR412W",51,40,47,75,26,29,96,54,56,102
"YDR413C",2,0,0,1,0,0,0,2,5,3
"YDR414C",435,296,321,376,235,151,309,274,326,312
"YDR415C",567,537,433,675,393,262,386,384,507,375
"YDR416W",498,380,399,531,311,190,381,295,387,308
"YDR417C",6,5,8,6,7,1,9,9,11,12
"YDR418W",2293,1929,2119,2531,1757,1150,2180,1638,2655,2039
"YDR419W",347,296,302,359,218,148,268,201,279,221
"tS(AGA)D3",2,0,0,0,0,0,0,1,0,0
"YDR420W",1243,823,749,1236,622,503,822,539,785,810
"YDR421W",827,700,775,952,554,312,380,352,604,324
"YDR422C",681,589,532,692,408,343,561,383,632,526
"YDR423C",872,855,739,944,655,350,437,437,658,437
"YDR424C",731,627,539,905,610,320,376,321,596,408
"YDR425W",466,297,259,417,226,170,285,237,380,231
"YDR426C",9,1,2,2,0,0,0,1,0,1
"YDR427W",2003,1312,1308,1962,1123,622,1299,1237,1673,1203
"YDR428C",363,236,238,286,257,143,326,269,393,346
"YDR429C",4084,3324,3696,4613,2704,2341,3743,2791,4028,4032
"YDR430C",980,809,799,1053,591,575,792,794,1016,776
"YDR431W",3,2,0,6,0,0,1,3,3,2
"YDR432W",4130,3134,3183,3845,2256,2229,2632,2282,3520,2647
"YDR433W",33,13,28,23,16,10,27,23,19,17
"YDR434W",1254,989,1000,1307,720,500,761,660,978,734
"YDR435C",1088,954,963,1111,721,535,600,558,1090,530
"YDR436W",1475,1266,1145,1498,861,597,642,588,938,570
"YDR437W",82,81,63,81,53,55,84,51,82,75
"YDR438W",424,305,297,357,261,153,273,200,320,258
"YDR439W",266,236,228,285,200,146,251,175,275,266
"YDR440W",507,318,373,455,311,225,413,294,408,421
"YDR441C",462,288,310,436,277,200,474,363,505,449
"YDR442W",13,10,8,11,7,0,5,4,8,7
"YDR443C",554,553,466,554,309,270,345,293,428,320
"YDR444W",488,386,355,531,261,169,450,259,346,462
"YDR445C",0,0,1,0,0,0,1,0,1,1
"tK(CUU)D2",0,0,0,0,0,0,0,0,0,0
"YDR446W",7,1,1,8,4,2,8,4,6,5
"YDR447C",5329,4277,4503,5749,3739,2845,5736,4101,6512,5461
"YDR448W",320,344,335,437,211,178,196,152,234,261
"YDR449C",151,87,119,135,107,79,300,142,191,360
"YDR450W",11196,9230,9178,11620,8288,7314,11292,8072,13689,11855
"YDR451C",331,286,272,361,281,263,268,290,374,325
"YDR452W",3918,3298,3581,4401,2455,1204,1590,1377,2126,1542
"YDR453C",348,242,266,342,221,185,204,312,492,161
"YDR454C",2138,1682,1795,2200,1514,1029,1884,1369,2147,1787
"YDR455C",2,3,0,1,0,0,0,1,0,2
"YDR456W",1656,1283,1343,1869,1071,502,805,666,898,738
"YDR457W",2309,2088,2178,2741,1633,1276,1653,1295,2096,1629
"YDR458C",858,603,725,909,445,249,538,395,562,473
"YDR459C",669,490,442,591,387,183,351,264,413,317
"YDR460W",796,672,612,828,473,265,375,327,452,430
"YDR461W",468,423,346,472,362,427,859,676,816,844
"YDR461C-A",471,359,297,528,393,173,157,182,249,148
"YDR462W",527,422,404,520,377,274,411,386,568,358
"YDR463W",1009,843,837,1103,687,404,579,426,775,524
"YDR464W",632,550,526,699,327,238,530,323,433,530
"YDR464C-A",0,0,0,0,0,0,0,0,0,0
"YDR465C",1067,864,888,1218,666,570,1216,736,1089,1359
"YDR466W",962,790,709,1042,567,363,686,441,750,627
"YDR467C",77,45,43,75,35,20,47,44,53,34
"YDR468C",851,695,695,835,573,371,544,468,721,498
"YDR469W",557,541,429,658,437,233,352,327,498,382
"YDR470C",585,420,427,585,372,285,452,344,492,402
"YDR471W",6687,6180,5905,7024,5227,4127,6377,4631,7696,7125
"snR13",13,14,14,15,14,5,16,23,23,21
"YDR472W",575,400,424,504,431,236,455,375,441,443
"YDR473C",442,413,498,612,304,169,277,184,355,258
"YDR475C",1536,1267,1231,1590,912,722,834,640,1178,780
"YDR476C",2745,2288,2112,2437,2062,1316,1253,1122,2155,1531
"YDR477W",1765,1202,1170,1673,946,903,1207,1104,1628,1113
"YDR478W",97,85,77,107,76,47,82,69,98,88
"YDR479C",1813,1309,1375,1745,1067,629,830,778,1134,727
"YDR480W",537,431,387,586,358,168,247,234,312,225
"YDR481C",2090,1873,1782,2112,1534,2005,2374,2018,3441,2362
"YDR482C",786,743,672,874,666,601,490,451,768,564
"YDR483W",3879,3132,3200,4047,2568,1798,2897,2285,3978,2510
"YDR484W",378,294,264,436,249,142,292,233,283,251
"YDR485C",976,676,808,1071,608,332,603,437,661,611
"YDR486C",976,894,772,1047,716,424,524,537,840,587
"YDR487C",3408,2880,2720,3028,2448,1734,1865,1662,2866,2154
"YDR488C",358,292,271,322,201,255,249,205,333,264
"YDR489W",451,319,287,377,276,141,270,233,307,211
"YDR490C",1016,918,939,1203,678,443,551,524,710,559
"YDR491C",78,33,33,61,24,19,83,54,52,65
"YDR492W",999,629,470,992,504,440,1291,787,929,1206
"YDR493W",217,164,147,214,163,117,165,137,203,161
"YDR494W",890,606,605,960,509,320,603,567,715,595
"YDR495C",452,267,332,443,231,129,327,264,348,285
"YDR496C",525,339,377,656,246,290,1064,551,665,1160
"YDR497C",8444,6433,6080,8412,4742,5139,4688,4161,7574,5184
"YDR498C",886,608,619,887,596,277,498,355,548,455
"YDR499W",478,363,420,589,307,165,266,211,310,270
"YDR500C",8713,6941,7264,8440,6942,5177,7837,5709,9312,9026
"YDR501W",106,81,92,104,61,66,98,61,109,80
"YDR502C",2279,1797,1812,2168,1272,2005,1618,1396,2394,1855
"YDR503C",442,376,301,403,301,137,193,191,297,177
"YDR504C",128,18,68,81,50,15,52,66,57,47
"YDR505C",1166,741,821,1044,541,466,675,622,896,513
"YDR506C",517,457,372,519,344,173,202,209,273,174
"tL(CAA)D",1,0,0,0,0,0,0,0,0,0
"YDR507C",1209,885,1010,1346,812,320,547,413,650,612
"YDR508C",3114,1970,2033,3168,1538,1334,2495,1648,1882,2564
"YDR509W",1,1,1,0,0,1,2,4,1,1
"YDR510W",2221,1968,2116,2564,1626,971,1168,1082,1603,1159
"YDR510C-A",217,139,125,273,118,53,105,122,133,83
"YDR511W",423,316,281,440,300,160,209,209,366,185
"YDR512C",552,511,428,638,445,161,254,225,341,208
"YDR513W",1807,1280,1277,1737,1177,722,1111,1161,1679,979
"YDR514C",375,317,371,420,291,174,373,244,295,431
"YDR515W",267,184,178,271,112,133,249,220,249,245
"YDR516C",9599,7776,7093,9209,5818,8364,7034,9180,13871,6270
"YDR517W",4029,3719,3292,3978,2577,1673,1687,1674,2670,1568
"YDR518W",1309,1056,974,1294,847,409,608,459,766,643
"YDR519W",875,743,755,940,606,381,503,466,741,515
"YDR520C",327,260,264,324,220,97,241,168,239,219
"YDR521W",4,0,0,2,2,0,0,1,0,3
"YDR522C",105,37,47,83,41,20,70,41,59,64
"YDR523C",53,37,38,47,38,17,121,39,32,118
"YDR524C",654,486,384,643,370,252,566,400,566,481
"YDR524W-C",5792,1718,4000,6125,1906,727,3743,3256,3593,3051
"YDR524C-B",41538,30448,29545,42746,31761,21925,26878,21672,37876,34138
"YDR524C-A",8,9,6,6,4,0,3,3,0,1
"YDR525W",12,4,4,10,5,3,3,2,4,3
"YDR525W-A",790,523,478,895,498,130,231,248,331,198
"YDR526C",3,2,4,8,3,0,7,2,0,2
"YDR527W",681,601,611,780,564,273,510,354,569,563
"snR84",161,105,78,141,109,53,138,95,125,123
"YDR528W",266,242,242,291,236,71,98,77,136,117
"YDR529C",1248,932,842,1316,860,513,645,723,1036,606
"YDR530C",1441,1141,1129,1301,955,641,682,707,1033,695
"YDR531W",1118,772,763,1142,645,429,723,503,878,619
"YDR532C",368,213,255,437,211,92,211,160,240,176
"YDR533C",296,236,229,321,197,152,244,218,341,195
"YDR534C",984,815,913,1119,790,603,673,547,997,614
"YDR535C",55,37,29,42,22,7,15,19,18,17
"YDR536W",295,174,174,240,156,60,112,95,113,99
"YDR537C",7,4,4,4,3,1,5,6,1,4
"YDR538W",95,74,50,104,55,29,65,53,62,59
"YDR539W",648,503,531,702,392,403,481,416,644,433
"YDR540C",108,64,57,121,47,41,63,64,82,40
"YDR541C",557,461,474,556,391,188,271,262,354,244
"YDR542W",0,2,1,0,2,1,0,0,1,0
"YDR543C",0,0,0,0,0,0,0,0,0,0
"YDR544C",0,0,0,0,0,0,1,0,0,0
"YDR545W",0,0,0,0,0,0,0,0,0,0
"YDR545C-A",0,0,0,0,0,0,0,0,0,0
"YOL166W-A",0,0,0,0,0,0,0,0,0,0
"YOL166C",1,0,3,2,0,0,0,0,0,0
"YOL165C",26,14,18,30,10,0,3,4,5,3
"YOL164W-A",95,86,66,105,75,24,24,14,28,20
"YOL164W",796,657,602,747,482,336,450,355,562,456
"YOL163W",161,115,108,105,93,22,25,35,58,32
"YOL162W",145,96,89,132,100,28,24,34,39,25
"YOL161C",0,0,1,1,0,0,1,2,1,1
"YOL160W",27,18,17,21,9,3,8,11,10,8
"YOL159C-A",84,76,60,109,57,43,65,58,95,60
"YOL159C",355,257,297,359,268,160,229,238,364,192
"YOL158C",1107,1112,1062,1212,802,2249,2155,1762,3907,1880
"YOL157C",115,118,95,148,80,33,52,70,84,52
"YOL156W",119,107,98,115,66,42,44,38,49,33
"YOL155W-A",0,0,0,0,0,0,0,0,0,0
